TIMESTAMP,ContextTokens,GeneratedTokens
2024-01-01 00:44:12.393216,6190,3
2024-01-01 00:44:12.436922,2245,347
2024-01-01 00:44:12.614981,6494,3
2024-01-01 00:44:12.811318,46184,1960
2024-01-01 00:44:13.365122,12573,210
2024-01-01 00:44:13.582915,7129,3
2024-01-01 00:44:13.603637,7341,3
2024-01-01 00:44:13.647178,6650,25
2024-01-01 00:44:13.754601,7933,258
2024-01-01 00:44:13.841091,6730,3
2024-01-01 00:44:13.867899,6390,3
2024-01-01 00:44:13.968126,6646,3
2024-01-01 00:44:14.317061,1284,522
2024-01-01 00:44:14.639013,6890,3
2024-01-01 00:44:14.707905,7489,3
2024-01-01 00:44:14.837998,6178,3
2024-01-01 00:44:14.996773,7045,3
2024-01-01 00:44:15.061666,6181,24
2024-01-01 00:44:15.085235,6905,40
2024-01-01 00:44:15.140977,6205,3
2024-01-01 00:44:15.450781,6027,172
2024-01-01 00:44:15.826729,6995,3
2024-01-01 00:44:16.043700,6176,31
2024-01-01 00:44:16.263662,7016,18
2024-01-01 00:44:16.325658,7002,3
2024-01-01 00:44:16.411691,3136,20
2024-01-01 00:44:16.458940,939,276
2024-01-01 00:44:16.463166,6683,27
2024-01-01 00:44:16.489926,6559,25
2024-01-01 00:44:16.636209,3017,18
2024-01-01 00:44:16.694898,6738,28
2024-01-01 00:44:16.737793,6794,3
2024-01-01 00:44:16.806267,3134,16
2024-01-01 00:44:16.807640,7242,24
2024-01-01 00:44:17.057517,16004,303
2024-01-01 00:44:17.190831,8100,3
2024-01-01 00:44:17.210151,6846,33
2024-01-01 00:44:17.222567,7149,3
2024-01-01 00:44:17.246680,6190,34
2024-01-01 00:44:17.381767,7184,3
2024-01-01 00:44:17.408767,12003,332
2024-01-01 00:44:17.700647,6601,3
2024-01-01 00:44:17.707291,2674,270
2024-01-01 00:44:17.777421,7476,3
2024-01-01 00:44:17.790857,3562,23
2024-01-01 00:44:17.928718,7145,3
2024-01-01 00:44:18.012990,6945,3
2024-01-01 00:44:18.318309,113283,88
